"Part name","Quantity","Width mm","Length mm","Height mm","Material",
"Jetson Nano_1 (S)","1","100,000","81,022","30,496","Steel, ALUM_6061-T6, AL6061",
"USB Plug Assembly","1","46,355","7,620","15,240","Steel",
"Jetson Nano","1","0","0","0","",
"(S) RESPEAKER MIC-3D v2.0","1","70,000","70,548","13,100","Steel",
"Micro_USB_Plug-2013","1","11,575","6,572","43,500","Steel",
"Respeaker Mic","1","0","0","0","",
"Google Coral USB","1","63,002","7,000","28,000","Steel",
"USB Type-C Plug -2","1","12,55","7,100","50,150","Steel",
"Stud M3x6","4","4,700","6,000","5,427","Steel",
"Google Coral","1","0","0","0","",
"Logo","1","180,000","2,500","180,000","ABS Plastic",
"Case top","1","180,000","80,000","179,954","ABS Plastic",
"Case bottom","1","175,000","10,000","175,000","ABS Plastic",
"second  "bottom"","1","173,985","13,700","82,369","Steel",
"prikol","2","24","21","333","Steel",
