"Part name","Quantity","Width mm","Length mm","Height mm","Material",
"25x25x10_fan","2","0","0","0","",
"92000A112_Passivated 18-8 Stainless Steel Pan Head Phillips Screws","4","4,997","4,997","27,029","Steel",
"94997A130_Phillips Rounded Head Screws for Sheet Metal","3","4,197","4,200","11,199","Steel",
"94997A275_Phillips Rounded Head Screws for Sheet Metal","8","5,596","5,600","15,072","Steel",
"95844A225_18-8 Stainless Steel Phillips Flat Head Screws for Metal","4","5,500","5,500","9,500","Steel",
"Base","1","127,500","123,000","100,000","ABS Plastic",
"Body","2","25,500","25,500","7,500","PPS Plastic",
"Case bottom","1","175,000","10,000","175,000","ABS Plastic",
"Case top","1","180,000","80,000","179,954","ABS Plastic",
"Fasteners","1","0","0","0","",
"Google Coral USB","3","63,002","7,000","28,000","Steel",
"Google Coral","1","0","0","0","",
"Jetson Nano","1","0","0","0","",
"Jetson Nano_1","1","100,000","81,022","30,496","Steel, ALUM_6061-T6, AL6061",
"Logo","1","180,000","2,500","180,000","ABS Plastic",
"Micro_USB_Plug-2013","2","11,575","6,572","43,500","Steel",
"RESPEAKER MIC-3D v2.0","1","70,000","70,548","13,100","Steel",
"RESPEAKER MIC-3D v2.0","1","70,000","70,548","13,100","Steel",
"RPI4 Heatsink","1","0","0","0","",
"Raspberry Pi 4 Model B","1","88,990","19,900","58,400","SOLIDWORKS Materials|Silicon, SOLIDWORKS Materials|5052-O, Steel, SOLIDWORKS Materials|AISI 304",
"Respeaker Mic","1","0","0","0","",
"Stud M3x6","4","4,700","6,000","5,427","Steel",
"Top","1","127,500","183,000","100,000","ABS Plastic",
"USB Plug Assembly","4","46,355","7,620","15,240","Steel",
"USB Type-C Plug -2","1","12,55","7,100","50,150","Steel",
"USB Type-C Plug -2","2","12,550","7,100","50,150","Steel",
"heatsink-bottom","1","87,000","56,000","7,200","Generic",
"heatsink-top","1","70,000","55,600","15,400","Generic",
"second  "bottom","1","173,985","13,700","82,369","Steel",
